id,domain,concept,definition_query,application_query,expected_answer
1,Common Nouns,Mammal,"Define what a mammal is.","According to this definition, is a dolphin a mammal?",yes
2,Common Nouns,Mammal,"Define what a mammal is.","According to this definition, is a crocodile a mammal?",no
3,Common Nouns,Bird,"Define what a bird is.","According to this definition, is a sparrow a bird?",yes
4,Common Nouns,Bird,"Define what a bird is.","According to this definition, is a bat a bird?",no
5,Common Nouns,Vehicle,"Define what a vehicle is.","According to this definition, is a car a vehicle?",yes
6,Common Nouns,Vehicle,"Define what a vehicle is.","According to this definition, is walking a vehicle?",no
7,Common Nouns,Reptile,"Define what a reptile is.","According to this definition, is a snake a reptile?",yes
8,Common Nouns,Reptile,"Define what a reptile is.","According to this definition, is a frog a reptile?",no
9,Common Nouns,Fruit,"Define what a fruit is.","According to this definition, is an apple a fruit?",yes
10,Common Nouns,Fruit,"Define what a fruit is.","According to this definition, is a carrot a fruit?",no
11,Common Nouns,Tool,"Define what a tool is.","According to this definition, is a hammer a tool?",yes
12,Common Nouns,Tool,"Define what a tool is.","According to this definition, is a pillow a tool?",no
13,Common Nouns,Furniture,"Define what furniture is.","According to this definition, is a chair furniture?",yes
14,Common Nouns,Furniture,"Define what furniture is.","According to this definition, is a laptop furniture?",no
15,Common Nouns,Planet,"Define what a planet is.","According to this definition, is Earth a planet?",yes
16,Common Nouns,Planet,"Define what a planet is.","According to this definition, is the Moon a planet?",no
17,Common Nouns,Insect,"Define what an insect is.","According to this definition, is an ant an insect?",yes
18,Common Nouns,Insect,"Define what an insect is.","According to this definition, is a spider an insect?",no
19,Common Nouns,Musical Instrument,"Define what a musical instrument is.","According to this definition, is a piano a musical instrument?",yes
20,Common Nouns,Musical Instrument,"Define what a musical instrument is.","According to this definition, is a radio a musical instrument?",no
21,Common Nouns,Building,"Define what a building is.","According to this definition, is a house a building?",yes
22,Common Nouns,Building,"Define what a building is.","According to this definition, is a tree a building?",no
23,Common Nouns,Clothing,"Define what clothing is.","According to this definition, is a shirt clothing?",yes
24,Common Nouns,Clothing,"Define what clothing is.","According to this definition, is a chair clothing?",no
25,Common Nouns,Metal,"Define what a metal is.","According to this definition, is iron a metal?",yes
26,Common Nouns,Metal,"Define what a metal is.","According to this definition, is plastic a metal?",no
27,Common Nouns,Emotion,"Define what an emotion is.","According to this definition, is happiness an emotion?",yes
28,Common Nouns,Emotion,"Define what an emotion is.","According to this definition, is hunger an emotion?",no
29,Common Nouns,Appliance,"Define what an appliance is.","According to this definition, is a refrigerator an appliance?",yes
30,Common Nouns,Appliance,"Define what an appliance is.","According to this definition, is a bicycle an appliance?",no
31,Common Nouns,Weapon,"Define what a weapon is.","According to this definition, is a sword a weapon?",yes
32,Common Nouns,Weapon,"Define what a weapon is.","According to this definition, is a spoon a weapon?",no
33,Common Nouns,Language,"Define what a language is.","According to this definition, is English a language?",yes
34,Common Nouns,Language,"Define what a language is.","According to this definition, is mathematics a language?",no
35,Common Nouns,Game,"Define what a game is.","According to this definition, is chess a game?",yes
36,Common Nouns,Game,"Define what a game is.","According to this definition, is sleeping a game?",no
