id,domain,concept,definition,model_answer,expected_answer,normalized_answer,consistent
1,Common Nouns,Mammal,"A **mammal** is a vertebrate animal characterized by the presence of mammary glands in females (for producing milk to feed their young), the possession of hair or fur, and being warm-blooded (endothermic).",yes,yes,yes,True
2,Common Nouns,Mammal,"**Mammal:** A class of vertebrate animals characterized by the presence of hair or fur, endothermy (being warm-blooded), and the ability of females to nourish their young with milk produced by mammary glands. Most mammals give birth to live young, though a few species lay eggs.",no,no,no,True
3,Common Nouns,Bird,"A bird is a vertebrate animal distinguished by the presence of feathers, wings, a toothless beak, and the laying of hard-shelled eggs. They are endothermic (warm-blooded).",no,yes,no,False
4,Common Nouns,Bird,"A bird is a warm-blooded vertebrate animal characterized by the presence of feathers, wings, a beak, and the laying of hard-shelled eggs.",no,no,no,True
5,Common Nouns,Vehicle,"A machine or device used for transporting people or goods from one place to another, typically operating on land, in the air, or on water.",yes,yes,yes,True
6,Common Nouns,Vehicle,"A machine or device used for transporting people or goods, typically over land, water, or through the air.",no,no,no,True
7,Common Nouns,Reptile,"A reptile is an **ectothermic vertebrate** characterized by **dry, scaly skin**, breathing air with **lungs**, and typically reproducing by laying **shelled eggs** on land.",yes,yes,yes,True
8,Common Nouns,Reptile,"**Reptile:**
A reptile is a diverse group of **ectothermic vertebrates** (commonly called cold-blooded) characterized by having **dry skin covered in scales or scutes**. They **breathe exclusively with lungs** throughout their lives and typically **reproduce by laying amniotic eggs** (often leathery-shelled) on land, though some species give live birth. Most have four limbs, but some, like snakes, are limbless. Key examples include snakes, lizards, turtles, tortoises, crocodiles, and alligators.",no,no,no,True
9,Common Nouns,Fruit,"A fruit is the mature, ripened ovary of a flowering plant, typically containing seeds. It develops from the flower after fertilization and serves to protect the seeds and aid in their dispersal.

While many fruits are sweet and commonly consumed as part of a meal (e.g., apples, oranges, berries), botanically, items like tomatoes, cucumbers, and avocados are also classified as fruits due to their origin and seed-bearing function, despite often being used culinarily as vegetables.",yes,yes,yes,True
10,Common Nouns,Fruit,"**Fruit:**

Botanically, a fruit is the mature ovary of a flowering plant, typically enclosing the seeds. Its primary function is to protect the seeds and aid in their dispersal.

Commonly, however, the term refers to the sweet, fleshy, edible produce of a plant, often consumed raw or as a dessert, distinguishing it from vegetables. Many items considered vegetables in culinary contexts (e.g., tomatoes, cucumbers, peppers, avocados) are botanically fruits.",no,no,no,True
11,Common Nouns,Tool,"An item, device, or method used to perform a task or achieve a goal, typically by aiding, extending, or simplifying a specific action or process.",yes,yes,yes,True
12,Common Nouns,Tool,"A tool is any physical object, method, or system used to perform a task, accomplish a goal, or facilitate work.",yes,no,yes,False
13,Common Nouns,Furniture,"**Definition:**

Furniture refers to movable objects designed to support various human activities (such as sitting, sleeping, working, and dining) and to hold or store items. It is used to equip a room or building, enhancing its comfort, utility, and aesthetic appeal.",no,yes,no,False
14,Common Nouns,Furniture,"**Definition:**
Furniture refers to movable objects designed to support various human activities such as sitting, sleeping, eating, working, and storing items, thereby enhancing the comfort, utility, or aesthetic of an indoor or outdoor space. Examples include chairs, tables, beds, desks, and cabinets.",no,no,no,True
15,Common Nouns,Planet,"A planet is a celestial body that:

1.  **Orbits a star** (and is not itself a star).
2.  Is **massive enough for its own gravity to pull it into a nearly round shape** (achieving hydrostatic equilibrium).
3.  **Has cleared the neighborhood around its orbit**, meaning it has gravitationally dominated its orbital path by absorbing or ejecting most other objects of comparable size.",yes,yes,yes,True
16,Common Nouns,Planet,"A planet is an astronomical body that:
1.  Orbits a star.
2.  Has sufficient mass for its own gravity to pull it into a nearly round shape.
3.  Has cleared the neighborhood around its orbit of other significant objects.",no,no,no,True
17,Common Nouns,Insect,"**Insect:** A class of invertebrates within the phylum Arthropoda, characterized by a segmented body divided into three distinct regions: a head (bearing a pair of antennae, compound eyes, and mouthparts), a thorax (which carries three pairs of legs and, typically, one or two pairs of wings), and an abdomen. All insects possess an external exoskeleton and are the most diverse group of animals on Earth.",yes,yes,yes,True
18,Common Nouns,Insect,"**Insect:** A class of arthropod characterized by a body divided into three distinct segments—a head, a thorax, and an abdomen—three pairs of jointed legs attached to the thorax, a pair of antennae, and typically one or two pairs of wings.",no,no,no,True
19,Common Nouns,Musical Instrument,**Musical Instrument:** An object or device specifically designed or adapted to be played or manipulated by a performer to produce controlled and organized sounds for musical expression or performance.,yes,yes,yes,True
20,Common Nouns,Musical Instrument,"An object or device specifically designed or adapted to produce controlled sounds for musical expression, performance, or composition.",no,no,no,True
21,Common Nouns,Building,"A constructed structure, typically with a roof and walls, designed to enclose space for human occupancy or various purposes.",yes,yes,yes,True
22,Common Nouns,Building,"A **building** is an erected, usually permanent structure, typically fixed to the ground, that has a roof and walls, enclosing an interior space designed for human occupancy, shelter, work, storage, or other specific purposes.",no,no,no,True
23,Common Nouns,Clothing,"Clothing refers to items worn on the human body, typically made of textiles or other materials, for purposes such as protection from the elements, modesty, adornment, and comfort.",yes,yes,yes,True
24,Common Nouns,Clothing,"**Clothing** refers to articles, typically made from fabric or other materials, worn on the body primarily for protection from the elements, warmth, modesty, adornment, or to signify social status.",no,no,no,True
25,Common Nouns,Metal,"**Metal:** An element characterized by its high electrical and thermal conductivity, lustrous appearance, and its malleability (can be hammered into sheets) and ductility (can be drawn into wires). Chemically, metals tend to form positive ions (cations) by readily losing electrons.",yes,yes,yes,True
26,Common Nouns,Metal,"A metal is a class of chemical elements typically characterized by specific physical and chemical properties:

*   **Physical Properties:** They are generally lustrous (shiny), good conductors of heat and electricity, malleable (can be hammered into sheets), and ductile (can be drawn into wires). Most are solid at room temperature.
*   **Chemical Properties:** They tend to lose electrons easily to form positive ions (cations).",no,no,no,True
27,Common Nouns,Emotion,"**Emotion** is a complex psychological and physiological state that arises as a natural, often spontaneous, response to an event, thought, or situation. It is characterized by subjective feelings, physiological changes (e.g., altered heart rate or hormone release), cognitive appraisals, and often a tendency to motivate specific behaviors or expressions.",yes,yes,yes,True
28,Common Nouns,Emotion,"**Emotion:** A complex psychological and physiological state that arises as a response to internal or external stimuli. It is characterized by a subjective feeling (e.g., joy, sadness, anger), physiological changes (e.g., increased heart rate, altered facial expressions), cognitive appraisal of the situation, and often associated behavioral tendencies. Emotions are fundamental to motivation, decision-making, and social communication.",yes,no,yes,False
