id,domain,concept,definition,model_answer,expected_answer,normalized_answer,consistent
1,Common Nouns,Mammal,"a mammal (class mammalia) is a warm-blooded animal that belongs to the group of vertebrates characterized by the following unique characteristics:

1. **warm-bloodedness**: mammals are endothermic, meaning they can regulate their own body temperature, regardless of the surrounding environment.
2. **hair or fur**: mammals are covered in hair or fur, which helps to insulate and protect them from the elements.
3. **mammary glands**: female mammals have mammary glands, which produce milk to nourish their young.
4. **three middle ear bones**: mammals have three bones (ossicles) in the middle ear that help transmit sound vibrations to the inner ear.
5. **live birth**: mammals give birth to live young, rather than laying eggs like birds or reptiles.
6. **brain development**: mammals have a neocortex, a region of the brain involved in higher cognitive functions, such as intelligence, social behavior, and self-awareness.

additionally, mammals often exhibit other characteristics, such as:

* a four-chambered heart
* a diaphragm that separates the chest cavity from the abdominal cavity
* a specific type of tooth structure called ""dental enamel""
* the ability to produce urine that is more concentrated than that of reptiles

overall, these characteristics distinguish mammals from other vertebrates and have allowed them to thrive in a wide range of environments around the world.",no,yes,no,False
2,Common Nouns,Mammal,"a mammal (class mammalia) is a warm-blooded animal that belongs to the group of vertebrates characterized by the following defining features:

1. **mammary glands**: the development and secretion of milk by mammary glands in females to nourish their young.
2. **hair or fur**: mammals have hair or fur, which helps regulate their body temperature and protect them from the environment.
3. **warm-bloodedness** (endothermy): mammals are able to maintain a relatively constant body temperature, regardless of the temperature of their surroundings.
4. **three middle ear bones** (ossicles): the three bones in the mammalian middle ear (malleus, incus, and stapes) are connected by joints, allowing for more complex sound transmission.
5. **live birth**: mammals give birth to live young, rather than laying eggs like reptiles or amphibians.
6. **brain structure**: mammals have a specific brain structure, including a neocortex, which is divided into distinct layers and contains many convolutions (folds).

some other characteristics common among mammals include:

* a four-chambered heart
* a diaphragm that separates the chest cavity from the abdominal cavity
* a liver with a gallbladder
* a pancreas with both exocrine and endocrine functions
* a urinary system that includes a bladder and urethra

these characteristics distinguish mammals from other animals, such as birds, reptiles, amphibians, fish, and invertebrates.",no.,no,no,True
3,Common Nouns,Bird,"a bird is a type of warm-blooded vertebrate animal that belongs to the class aves. birds are characterized by a number of distinct physical and behavioral traits, including:

1. feathers: birds have a covering of feathers, which provide insulation, support, and protection.
2. light skeleton: birds have hollow bones, which make them lighter and more efficient for flight.
3. wings: birds have wings, which are actually modified forelimbs that are used for flying, balance, and maneuverability.
4. beak or bill: birds have a hard, keratin-based beak or bill that is used for eating, preening, and other activities.
5. lay eggs: birds are egg-laying animals, meaning they reproduce by laying eggs outside of their bodies.
6. warm-bloodedness: birds are endothermic, meaning they regulate their body temperature internally, rather than relying on external sources of heat.
7. keen eyesight: many birds have excellent eyesight and use it to find food, avoid predators, and navigate.
8. lightweight skeleton: birds have hollow bones that make them lighter and more efficient for flight.

some additional characteristics of birds include:

* they have a unique respiratory system, with air sacs that help them breathe efficiently while flying.
* many birds are migratory, meaning they travel long distances each year to find food or escape harsh weather conditions.
* birds have a wide range of sizes, from the tiny hummingbirds (which weigh as little as 1.6 grams) to the large ostriches and emus.

these characteristics define what we commonly refer to as ""birds.""",yes,yes,yes,True
4,Common Nouns,Bird,"a bird is a type of warm-blooded vertebrate animal that belongs to the class aves. birds are characterized by several distinctive physical and behavioral features, including:

1. feathers: birds have feathers, which are light, yet strong and insulating structures that provide protection from the elements.
2. wing shape: birds have wings that are shaped for flight, with a rigid framework of bones, muscles, and skin.
3. hollow bones: birds have hollow bones, which make them lighter and more efficient for flight.
4. lay eggs: all birds lay eggs, rather than giving birth to live young like mammals.
5. lightweight skeleton: birds have a lightweight skeleton that is designed for flight and mobility.
6. highly efficient respiratory system: birds have an exceptional ability to extract oxygen from the air, which allows them to fly long distances without getting tired.
7. unique skull structure: birds have a unique skull structure that includes a beak or bill, a highly developed sense of vision, and a keen sense of hearing.

some other characteristics of birds include:

* most birds are diurnal (active during the day), although some species, like owls, are nocturnal.
* many birds are migratory, traveling long distances each year to find food, shelter, or suitable breeding grounds.
* birds have a wide range of vocalizations, including songs, calls, and chirps, which are used for communication and mating.

overall, the characteristics that define birds as a group include their feathers, wings, hollow bones, egg-laying ability, lightweight skeleton, and unique respiratory system.",no,no,no,True
5,Common Nouns,Vehicle,"a vehicle is a device or machine that transports people, goods, or both from one place to another. it can be powered by various means, such as:

1. human power (e.g., bicycle)
2. animal power (e.g., horse-drawn carriage)
3. mechanical power (e.g., internal combustion engine, electric motor, steam engine)
4. renewable energy sources (e.g., solar-powered vehicle)

vehicles can be classified into various types based on their design, function, and purpose, such as:

1. land vehicles: cars, trucks, buses, motorcycles, bicycles
2. water vehicles: boats, ships, ferries, submarines
3. air vehicles: planes, helicopters, gliders, hot air balloons
4. space vehicles: rockets, spacecraft

some common characteristics of vehicles include:

1. mobility: vehicles are designed to move from one place to another.
2. load-carrying capacity: vehicles can carry people, goods, or both.
3. propulsion system: vehicles have a means of propulsion, such as an engine or motor.
4. control systems: vehicles often have control systems, such as steering wheels, pedals, and brakes.

overall, vehicles play a crucial role in modern society, enabling us to travel efficiently, transport goods, and connect with others around the world.",yes.,yes,yes,True
6,Common Nouns,Vehicle,"a vehicle is a machine designed to transport people or goods from one place to another, typically using wheels, wings, water, or air as its mode of propulsion. vehicles can be powered by various means, including:

1. internal combustion engines (gasoline, diesel, or alternative fuels)
2. electric motors
3. steam power
4. human power (bicycles, scooters, etc.)
5. solar power
6. hydrogen fuel cells

common types of vehicles include:

1. land vehicles:
	* cars
	* trucks
	* buses
	* motorcycles
	* atvs (all-terrain vehicles)
2. air vehicles:
	* airplanes
	* helicopters
	* gliders
3. water vehicles:
	* boats
	* ships
	* ferries
	* yachts
4. rail vehicles:
	* trains
	* subways
	* monorails

vehicles can also be classified by their primary purpose, such as:

1. personal transportation (cars, motorcycles)
2. commercial transportation (trucks, buses)
3. recreational transportation (boats, rvs)
4. emergency services (ambulances, fire trucks)

in general, a vehicle is any device designed to carry people or goods from one place to another, using various modes of propulsion and operation.",yes,no,yes,False
7,Common Nouns,Reptile,"a reptile is a type of animal that belongs to the class reptilia. reptiles are cold-blooded, meaning their body temperature regulates with the environment around them, unlike mammals and birds which are warm-blooded.

some key characteristics of reptiles include:

1. cold-bloodedness: they regulate their body temperature using external sources, such as sunlight or a warm rock.
2. scaly skin: reptiles have dry, keratinized scales that help to prevent water loss from their bodies.
3. lay eggs: most reptiles lay eggs instead of giving birth to live young like mammals.
4. respire through lungs: unlike fish and amphibians, reptiles breathe air using lungs.
5. no hair or feathers: reptiles have no hairs or feathers on their bodies.

some common examples of reptiles include:

* snakes (such as cobras, vipers, and boas)
* lizards (such as geckos, iguanas, and monitor lizards)
* turtles and tortoises
* crocodilians (such as alligators, crocodiles, and caimans)
* tuataras

reptiles are found on every continent except antarctica, and they play important roles in many ecosystems around the world.",yes,yes,yes,True
8,Common Nouns,Reptile,"a reptile is a type of animal that belongs to the class reptilia. reptiles are cold-blooded, meaning their body temperature is regulated by the environment around them, rather than being internally controlled like mammals and birds.

some key characteristics that define reptiles include:

1. scaly skin: reptiles have dry, scaly skin that helps to prevent water loss.
2. cold-bloodedness: reptiles are ectothermic, meaning their body temperature is influenced by the environment around them.
3. laying eggs: all reptiles lay eggs instead of giving birth to live young like mammals.
4. three-chambered heart: reptiles have a three-chambered heart, which is different from the four-chambered heart found in mammals and birds.
5. respiratory system: reptiles have a unique respiratory system that involves taking in air through their mouths and exhaling through their nostrils.

examples of reptiles include:

* snakes
* lizards (such as geckos, iguanas, and monitor lizards)
* turtles
* crocodilians (such as crocodiles, alligators, and caimans)
* tuataras

reptiles play important roles in many ecosystems around the world, serving as both predators and prey for other animals.",no.,no,no,True
9,Common Nouns,Fruit,"a fruit is the sweet and fleshy part of a plant that grows from a flower and contains seeds. fruits are typically eaten by humans and other animals, providing essential nutrients like vitamins, minerals, and antioxidants.

from a botanical standpoint, fruits are the mature ovary of a flowering plant, containing the seeds or pits (like peach stones). they develop from the receptacle (the part that holds the flower) and contain the embryo of the seed. fruits can be soft and juicy (like bananas), hard and dry (like apples), or even a combination of both (like citrus fruits).

some common characteristics of fruits include:

1. developing from a flower: fruits are formed when a flower has been pollinated and its ovary contains seeds.
2. containing seeds: fruits typically contain the seeds or pits, which allow the plant to reproduce.
3. sweet or tart taste: fruits are known for their sweet or tangy flavor profiles, which attract animals to eat them and disperse the seeds.
4. nutritious: fruits are a rich source of essential nutrients like vitamins a, c, k, potassium, fiber, and antioxidants.

examples of fruits include:

* berries (strawberries, blueberries, raspberries)
* citrus fruits (oranges, lemons, limes)
* tropical fruits (mangoes, pineapples, papayas)
* tree fruits (apples, pears, peaches)
* stone fruits (peach stones, apricots, plums)

remember that some plants can have both edible and inedible parts. for instance, the pit or stone of a fruit is usually not edible, but it contains seeds for reproduction.

now you know what a fruit is!",yes.,yes,yes,True
10,Common Nouns,Fruit,"from a botanical standpoint, a fruit is the mature ovary of a plant, which contains seeds and develops from the ovary of a flower. fruits are formed when an ovary in a flower grows and matures after fertilization by pollen.

in other words, a fruit is the part of a plant that grows from the ovary of a flower and contains the seeds. it's the ripened reproductive structure of a plant that serves as a package for dispersing seeds to propagate the species.

some common characteristics of fruits include:

1. containing seeds: fruits typically contain seeds, which are the reproductive structures of plants.
2. developing from an ovary: fruits form from the ovary of a flower, where fertilization takes place.
3. being edible: many fruits are edible and consumed by humans or animals as a source of nutrition.

examples of fruits include:

* berries (strawberries, blueberries, raspberries)
* citrus fruits (oranges, lemons, limes)
* drupes (peaches, plums, cherries)
* pomes (apples, pears)
* tropical fruits (mangoes, pineapples, bananas)

it's worth noting that the term ""fruit"" can also be used informally to refer to any sweet or fleshy plant part that grows from a flower and is edible. however, in botanical terms, not all sweet or fleshy plant parts are technically fruits!",no,no,no,True
