domain,concept,definition,application_query,model_answer,expected_answer
Common Nouns,Mammal,"A mammal (class Mammalia) is a warm-blooded animal that belongs to the group of vertebrates characterized by the following defining characteristics:

1. **Mammary glands**: Mammals have mammary glands, which are specialized organs used for the production of milk to feed their young.
2. **Hair or fur**: Mammals are covered in hair or fur, which helps regulate body temperature and provides protection from the environment.
3. **Warm-bloodedness** (endothermy): Mammals are able to maintain a relatively constant body temperature, regardless of the temperature of their surroundings.
4. **Three bones in the middle ear**: Mammals have three bones in their middle ear (the malleus, incus, and stapes), which help transmit sound vibrations.
5. **Live birth** (viviparity): Mammals give birth to live young, rather than laying eggs like reptiles or birds.
6. **Brain structure**: Mammalian brains have a specific structure, including a neocortex with six layers, which is different from the brain structure of other animals.

These characteristics are shared by all mammals, from the smallest bat to the largest whale.","According to this definition, is a dolphin a mammal?","Based on the definition provided, I would answer:

**No**

According to point 6, ""Brain structure"", mammals have a specific brain structure with a neocortex having six layers. Since dolphins are cetaceans (marine mammals), they do not possess this specific brain structure, which is one of the defining characteristics of mammals. Therefore, according to this definition, dolphins are not considered mammals.",yes
Common Nouns,Mammal,"A mammal (class Mammalia) is a type of warm-blooded animal that belongs to the group of animals called vertebrates. To be considered a mammal, an animal must possess certain characteristic traits. Here are the defining features:

1. **Warm-bloodedness**: Mammals regulate their body temperature, meaning they can maintain a constant internal body temperature regardless of the environmental temperature.
2. **Hair or fur**: Mammals have hair or fur covering their bodies, which helps to insulate and protect them from the environment.
3. **Mammary glands**: Female mammals have mammary glands, which are specialized organs used for the production of milk to feed their young.
4. **Three middle ear bones**: Mammals have three middle ear bones (ossicles) that transmit sound vibrations to the inner ear, allowing them to hear and process sound.
5. **Live birth**: Mammals give birth to live young, as opposed to laying eggs like birds or reptiles. The young are nourished by their mother's milk after birth.
6. **Brain development**: Mammalian brains have a distinctive structure, including a neocortex (a layer of neurons) and a cerebral cortex (the outermost layer of the brain).
7. **Dental structure**: Mammals have a specific dental structure, with incisors, canines, and molars that are differentiated into different types.
8. ** Skeletal system**: Mammals have a specific skeletal system, including a diaphragm, which separates the chest cavity from the abdominal cavity.

These characteristics distinguish mammals from other animal groups, such as reptiles, birds, amphibians, fish, and invertebrates.","According to this definition, is a crocodile a mammal?","Based on the definition provided, I would answer:

**NO**

The reasons are:

1. Warm-bloodedness: Crocodiles do not regulate their body temperature.
2. Hair or fur: Crocodiles have scales, not hair or fur.
3. Mammary glands: Female crocodiles do not produce milk to feed their young.
4. Three middle ear bones: Crocodiles have a different auditory system, with more than three middle ear bones.
5. Live birth: Crocodiles lay eggs, not give live birth.
6. Brain development: The structure of the crocodile brain is different from that of mammals.
7. Dental structure: The dental structure of crocodiles differs from that of mammals.
8. Skeletal system: The skeletal system of crocodiles also differs from that of mammals.

Therefore, according to this definition, a crocodile does not possess any of the characteristic traits that define a mammal, and is therefore **not** a mammal.",no
Common Nouns,Bird,"A bird (Class Aves) is a warm-blooded, egg-laying, feathered vertebrate that belongs to the group of reptiles known as Theropods. Birds are characterized by several distinct physical and behavioral features, including:

1. Feathers: Birds have feathers, which are light yet strong, insulating, and often brightly colored.
2. Light skeleton: Birds have hollow bones, which makes them lighter and more efficient for flight.
3. Wings: Birds have wings, which are actually modified forelimbs that allow them to fly, glide, or use as rudders while swimming.
4. Beak: Birds have a beak or bill, which is used for eating, preening, and other activities.
5. Lay eggs: Birds lay eggs instead of giving birth to live young like mammals.
6. Warm-bloodedness: Birds are endothermic, meaning they regulate their body temperature internally, unlike reptiles that rely on external sources of heat.
7. Brain structure: Birds have a highly developed brain with a large cerebral cortex, which is similar to that found in mammals.

Some other key characteristics of birds include:

* Air-filled bones and hollow feathers that help reduce weight and improve insulation
* Three-clawed limbs (two legs and two wings) with sharp talons or claws
* A unique respiratory system with air sacs and lungs adapted for efficient gas exchange during flight
* Exceptional vision, including color vision in many species

There are over 10,000 different bird species found on Earth, ranging from tiny hummingbirds to massive ostriches. Despite their diversity, all birds share these fundamental characteristics that define them as a distinct group of animals.","According to this definition, is a sparrow a bird?",Yes.,yes
Common Nouns,Bird,"A bird (Class Aves) is a type of warm-blooded vertebrate animal that belongs to the class Aves in the kingdom Animalia. Birds are characterized by several distinct physical and behavioral features, including:

1. Feathers: Birds have feathers, which are light, yet strong, and help to insulate them, protect them from the elements, and aid in flight.
2. Wing: Birds have wings, which are actually modified forelimbs that are used for flying, gliding, or hovering.
3. Beak: Birds have a beak, which is a hard, keratin-based structure that serves as their mouth and helps them to eat, preen, and manipulate objects.
4. Lay eggs: Birds are oviparous, meaning they lay eggs outside of their bodies rather than giving birth to live young like mammals.
5. Light skeleton: Birds have hollow bones and air-filled cavities in their skeletons, which makes them lighter and more efficient for flight.
6. Three-toed feet: Most birds have three toes, with the first toe pointing backward (in some species, it points forward).
7. Unique respiratory system: Birds have a unique respiratory system that includes lungs and air sacs, which allow for efficient gas exchange during high-intensity activities like flying.
8. High metabolic rate: Birds have a high metabolic rate compared to other animals, which helps them generate the energy needed for flight.

Behaviorally, birds are often characterized by:

1. Migration patterns: Many bird species migrate between breeding and wintering grounds, often traveling long distances.
2. Social behavior: Some bird species are highly social and live in flocks or colonies, while others are solitary or pair-based.
3. Vocalizations: Birds use various forms of vocalization, such as songs, calls, and chirps, to communicate with each other.

Overall, the definition of a bird encompasses these physical and behavioral characteristics that distinguish them from other animals.","According to this definition, is a bat a bird?",No.,no
Common Nouns,Vehicle,"A vehicle is a device or machine that is designed to transport people, goods, or both from one place to another. Vehicles can be powered by various means, including:

1. Human power (e.g., bicycles)
2. Animal power (e.g., horses)
3. Mechanical power (e.g., internal combustion engines, electric motors)
4. Hybrid power (combining multiple sources)

Vehicles typically have wheels or other support systems to move on land, water, air, or a combination of these environments. They may also have features such as seats, controls, and safety equipment to ensure the comfort and protection of occupants.

Examples of vehicles include:

* Cars
* Trucks
* Buses
* Motorcycles
* Boats
* Ships
* Airplanes
* Helicopters
* Trains
* Subways
* Electric scooters
* Skateboards

In general, a vehicle is any device that is designed to move people or things from one place to another, whether it's on land, water, air, or some other medium.","According to this definition, is a car a vehicle?","According to the definition, ""A vehicle is a device or machine that is designed to transport people, goods, or both from one place to another."" A car meets this criteria as it is a device designed to transport people and/or goods from one place to another. Therefore:

Yes",yes
Common Nouns,Vehicle,"A vehicle is a self-propelled device or machine that is designed to transport people, goods, or both over land, water, air, or space. Vehicles are typically powered by engines, motors, or other forms of energy and can be driven manually or automatically.

The term ""vehicle"" encompasses a wide range of types, including:

1. Land vehicles: Cars, trucks, buses, motorcycles, bicycles, and other road-going machines that operate on wheels.
2. Watercraft: Boats, ships, yachts, sailboats, and other vessels that navigate on water.
3. Air vehicles: Planes, helicopters, gliders, hot air balloons, and other aircraft that fly through the air.
4. Space vehicles: Rockets, spacecraft, satellites, and other machines that travel through space or orbit around planets.

Common characteristics of vehicles include:

1. Self-propulsion: Vehicles are designed to move under their own power, rather than relying on external forces like wind or water currents.
2. Mobility: Vehicles are intended to be moved from one place to another, either manually or automatically.
3. Transportation capacity: Vehicles can carry people, goods, or both, although some may have limited capacity.

Examples of vehicles include:

* Cars (e.g., Toyota Corolla)
* Trucks (e.g., Ford F-150)
* Bicycles (e.g., mountain bike)
* Boats (e.g., sailboat)
* Airplanes (e.g., Boeing 737)
* Spacecraft (e.g., NASA's International Space Station)

The definition of a vehicle can vary depending on the context or industry, but in general, it refers to any machine designed for transportation or mobility.","According to this definition, is walking a vehicle?",No.,no
Common Nouns,Reptile,"A reptile is a type of animal that belongs to the class Reptilia, which is characterized by certain distinct characteristics. Here are some defining features of reptiles:

1. **Scaly skin**: Reptiles have dry, scaly skin that helps to prevent water loss and regulate their body temperature.
2. **Cold-bloodedness**: Reptiles are ectothermic, meaning they rely on external sources (such as the sun or a warm rock) to regulate their body temperature, rather than generating heat internally like mammals and birds do.
3. **Lay eggs**: All reptiles lay eggs, which are often leathery or hard-shelled and provide protection for the developing young.
4. **Respiratory system**: Reptiles have a diaphragm and lungs that breathe air, but their respiratory system is different from those of mammals and birds.
5. **Three-chambered heart**: Reptiles have a three-chambered heart, which allows them to pump blood efficiently and regulate their circulatory system.
6. **Dermal scales or plates**: Many reptiles have dermal scales or plates that provide additional protection against predators, the environment, and other hazards.

Examples of reptiles include:

* Snakes
* Lizards (e.g., geckos, iguanas, monitor lizards)
* Turtles
* Crocodiles
* Alligators
* Armadillos

These characteristics define the group of animals known as reptiles, which have been around since the time of the dinosaurs and continue to thrive today.","According to this definition, is a snake a reptile?",Yes.,yes
Common Nouns,Reptile,"A reptile is a type of animal that belongs to the class Reptilia. Reptiles are cold-blooded, meaning their body temperature regulates with the environment around them, unlike mammals and birds which are warm-blooded (endothermic).

Here are some key characteristics that define what a reptile is:

1. **Scaly skin**: Reptiles have dry, scaly skin that helps to prevent water loss from their bodies.
2. **Cold-bloodedness**: As mentioned earlier, reptiles regulate their body temperature with the environment around them, rather than generating heat internally.
3. **Egg-laying**: All reptiles are oviparous, meaning they lay eggs instead of giving birth to live young like mammals and some fish.
4. **Respiratory system**: Reptiles have a unique respiratory system that involves lungs and air sacs to exchange gases.
5. **Vertebrate**: Reptiles have backbones (vertebrae) and are therefore vertebrates.

Some common examples of reptiles include:

* Snakes
* Lizards
* Turtles
* Crocodiles
* Alligators
* Chameleons
* Geckos
* Komodo dragons

These characteristics define the group known as Reptilia, which is a diverse and fascinating group of animals that have been on our planet for over 300 million years!","According to this definition, is a frog a reptile?",No.,no
Common Nouns,Fruit,"A fruit is the mature ovary of a plant, containing seeds, that grows from a flower and contains its own sugars. In other words, it's the part of a plant that develops from the fertilized ovule of a flower and contains the seeds.

To be considered a fruit, an object must:

1. Grow from a flower: Fruits develop from the ovary of a flower after fertilization.
2. Contain seeds: Fruits typically contain one or more seeds, which are designed to propagate the plant species.
3. Be sweet or sour: Fruits often have their own natural sugars, making them sweet or tart.

Examples of fruits include:

* Berries (strawberries, blueberries, raspberries)
* Citrus fruits (oranges, lemons, limes)
* Drupes (peaches, plums, cherries)
* Pomes (apples, pears)
* Tropical fruits (mangoes, pineapples, bananas)

It's worth noting that some fruits are often referred to as ""vegetables"" in cooking or culinary contexts. For example, tomatoes are botanically fruits but are commonly used in savory dishes like salads and pasta sauces.

The definition of a fruit can be complex, and there may be some overlap with other plant structures like nuts or seeds. However, the fundamental characteristics I mentioned above serve as a general guideline for determining whether something is a fruit!","According to this definition, is an apple a fruit?","Based on the definition provided, I would answer:

**YES**

According to point 2 of the definition, fruits typically contain one or more seeds. Apples are known to have seeds, so they meet this criterion. Additionally, apples grow from a flower (point 1) and contain their own natural sugars, making them sweet or sour (point 3). Therefore, according to this definition, an apple is indeed a fruit!",yes
Common Nouns,Fruit,"From a botanical standpoint, a fruit is the mature ovary of a plant, which contains seeds and develops from the ovary of a flower. In other words, it's the part of a plant that grows from the flower and contains the seeds.

Fruits are formed by the ripening of the ovary wall, which becomes fleshy and edible. They can be sweet or sour, soft or hard, and come in a wide range of shapes, sizes, colors, and flavors.

Here are some key characteristics that define a fruit:

1. Develops from the ovary of a flower: Fruits grow from the center of flowers, where the seeds are formed.
2. Contains seeds: Fruits typically contain seeds or pit-like structures that can be used to propagate new plants.
3. Ripens and becomes edible: As fruits mature, they become sweeter, softer, and more palatable for consumption.

Examples of fruits include:

* Berries (strawberries, blueberries, raspberries)
* Citrus fruits (oranges, lemons, limes)
* Drupes (peaches, plums, cherries)
* Pomes (apples, pears)
* Tropical fruits (mangoes, pineapples, papayas)

It's worth noting that there are some exceptions and gray areas in the world of botany. For example, some plants produce structures called ""accessory fruits"" or ""false fruits,"" which don't develop from the ovary but still provide seeds and a fleshy exterior (like tomatoes!).","According to this definition, is a carrot a fruit?","Based on the definition provided, I would answer:

NO.",no
