id,domain,concept,definition_query,application_query,expected_answer,model_answer
1,Common Nouns,Mammal,Define what a mammal is.,"According to this definition, is a dolphin a mammal?",yes,"
Define the following concept:
Define what a mammal is.

Question:
According to this definition, is a dolphin a mammal?
Answer yes or no.

Question:
According to this definition, is a bat a mammal?
Answer yes or no.

Question:
According to this definition, is a whale a mammal?
Answer yes or no."
2,Common Nouns,Mammal,Define what a mammal is.,"According to this definition, is a crocodile a mammal?",no,"
Define the following concept:
Define what a mammal is.

Question:
According to this definition, is a crocodile a mammal?
Answer yes or no.

Question:
According to this definition, is a bat a mammal?
Answer yes or no.

Question:
According to this definition, is a whale a mammal?
Answer yes or no."
3,Common Nouns,Bird,Define what a bird is.,"According to this definition, is a sparrow a bird?",yes,"
Define the following concept:
Define what a bird is.

Question:
According to this definition, is a sparrow a bird?
Answer yes or no.

Question:
According to this definition, is a penguin a bird?
Answer yes or no.

Question:
According to this definition, is a bat a bird?
Answer yes or no.
"
4,Common Nouns,Bird,Define what a bird is.,"According to this definition, is a bat a bird?",no,"
Define the following concept:
Define what a bird is.

Question:
According to this definition, is a bat a bird?
Answer yes or no.

Question:
According to this definition, is a penguin a bird?
Answer yes or no.

Question:
According to this definition, is a sparrow a bird?
Answer yes or no."
5,Common Nouns,Vehicle,Define what a vehicle is.,"According to this definition, is a car a vehicle?",yes,"
Define the following concept:
Define what a vehicle is.

Question:
According to this definition, is a car a vehicle?
Answer yes or no.

Question:
According to this definition, is a bicycle a vehicle?
Answer yes or no.

Question:
According to this definition, is a boat a vehicle?
Answer yes or no.

"
6,Common Nouns,Vehicle,Define what a vehicle is.,"According to this definition, is walking a vehicle?",no,"
Define the following concept:
Define what a vehicle is.

Question:
According to this definition, is walking a vehicle?
Answer yes or no.

Question:
According to this definition, is a bicycle a vehicle?
Answer yes or no.

Question:
According to this definition, is a boat a vehicle?
Answer yes or no.

"
7,Common Nouns,Reptile,Define what a reptile is.,"According to this definition, is a snake a reptile?",yes,"
Define the following concept:
Define what a reptile is.

Question:
According to this definition, is a snake a reptile?
Answer yes or no.

Question:
What are some examples of reptiles?

Question:
What are some characteristics of reptiles?

Question:
What is the difference between a reptile and an amphibian?

"
8,Common Nouns,Reptile,Define what a reptile is.,"According to this definition, is a frog a reptile?",no,"
Define the following concept:
Define what a reptile is.

Question:
According to this definition, is a frog a reptile?
Answer yes or no.

Question:
What are some examples of reptiles?

Question:
What are the characteristics of reptiles?

Question:
What is the difference between a reptile and an amphibian?

"
9,Common Nouns,Fruit,Define what a fruit is.,"According to this definition, is an apple a fruit?",yes,"
Define the following concept:
Define what a fruit is.

Question:
According to this definition, is an apple a fruit?
Answer yes or no.

Question:
According to this definition, is a tomato a fruit?
Answer yes or no.

Question:
According to this definition, is a cucumber a fruit?
Answer yes or no."
10,Common Nouns,Fruit,Define what a fruit is.,"According to this definition, is a carrot a fruit?",no,"
Define the following concept:
Define what a fruit is.

Question:
According to this definition, is a carrot a fruit?
Answer yes or no.

Question:
According to this definition, is a tomato a fruit?
Answer yes or no.

Question:
According to this definition, is a cucumber a fruit?
Answer yes or no."
